Media ID;R_EX_glc__D_e_i;R_EX_xyl__D_e_i;R_EX_succ_e_i;R_EX_ala__L_e_i;R_EX_arg__L_e_i;R_EX_asn__L_e_i;R_EX_asp__L_e_i;R_EX_cys__L_e_i;R_EX_glu__L_e_i;R_EX_gln__L_e_i;R_EX_gly_e_i;R_EX_his__L_e_i;R_EX_ile__L_e_i;R_EX_leu__L_e_i;R_EX_lys__L_e_i;R_EX_met__L_e_i;R_EX_phe__L_e_i;R_EX_pro__L_e_i;R_EX_ser__L_e_i;R_EX_thr__L_e_i;R_EX_trp__L_e_i;R_EX_tyr__L_e_i;R_EX_val__L_e_i;R_EX_ade_e_i;R_EX_gua_e_i;R_EX_csn_e_i;R_EX_ura_e_i;R_EX_thymd_e_i;GR_AVG;GR_STD;Stdev (%);Observations
139;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0,615162412;0,01971164;3,204298449;
140;0;1;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0,624189553;0,015042595;2,409940278;
141;0;1;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0,456087755;0,022807178;5,000611757;
142;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0,505233949;0,063001401;12,46974813;
143;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,521561127;0,001784093;0,342067832;
144;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,458583953;0,023413253;5,105554286;
145;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,49386516;0,003660605;0,741215567;
146;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,452868942;0,00694067;1,532600058;
147;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0,559740942;0,020826;3,720649767;
148;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0,474513382;0,04754029;10,01874586;
149;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0,416480882;0,019356047;4,647523559;
150;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0,494446616;0,054006589;10,92263301;
151;0;1;0;1;0;1;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0,421284923;0,010270083;2,437799683;
152;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,733522996;0,030725218;4,188719185;
153;0;1;0;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0,432742346;0,025577205;5,910492801;
154;0;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0,520412103;0,009426606;1,811373374;
155;0;1;0;1;1;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0,415791923;0,010900395;2,621598491;
156;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,286235101;0,019836233;6,930049117;
157;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,718457787;0,031474641;4,380861554;
158;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,318262559;0,013868867;4,357680824;
159;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0,286678412;0,011793574;4,11386887;
160;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0,332092633;0,001712858;0,515777134;
161;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0,357563499;0,021740529;6,080186763;
162;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,35896258;0,026975937;7,514972003;
163;0;0;1;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,613048013;0,018182787;2,965964581;
164;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,559319804;0,029009228;5,186518956;
165;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,811132173;0,059655336;7,354576507;
166;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0,266953331;0,039033567;14,62186944;
167;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0,304623502;0,018752373;6,155918041;
168;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0,417351424;0,003529104;0,845595185;
169;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0,486255301;0,01568719;3,226122197;
170;0;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,444582772;0,026721787;6,010531258;
171;0;0;1;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,584702918;0,069204996;11,83592445;
172;0;0;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,521464286;0,022802402;4,372763865;
173;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,640320131;0,020508951;3,20292151;
174;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,451614865;0,011784763;2,609471872;
175;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,523380102;0,064933533;12,40657281;
176;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,413155133;0,050650981;12,25955507;
177;0;0;1;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0,477631846;0,037602993;7,872798629;
178;0;0;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0,415613336;0,01421458;3,420145381;
179;0;0;1;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,3714061;0,013160814;3,543510371;
180;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,402203482;0,048721131;12,11355276;
181;0;0;1;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,648282112;0,029618743;4,568804623;
182;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0,430577275;0,02506965;5,822334764;
183;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,345912057;0,008630051;2,494868456;
184;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0,359823084;0,007398146;2,056050941;
185;0;0;1;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0,392416416;0,01691342;4,310069441;
186;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0,416309033;0,004876085;1,171265699;
187;0;0;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0,356335693;0,002707809;0,759903972;
188;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,597833636;0,018042977;3,018059794;
189;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,783058318;0,016615343;2,12185252;
190;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0,235254186;0,02226447;9,464005817;
191;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0,273286952;0,033433703;12,23391854;
192;0;0;1;0;1;0;0;1;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0,503013022;0,029072634;5,779698043;
193;0;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0,257891351;0,018177135;7,048369463;
194;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;1;0,347769823;0,04248455;12,2162841;
195;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;1;0,196721229;0,011781187;5,988772744;
196;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,37378318;0,011310253;3,025886026;
197;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0,758031027;0,042781326;5,643743377;
198;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0,575307634;0,004521192;0,785873888;
199;0;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,680640168;0,00956057;1,404643864;
200;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0,448216585;0,009198858;2,052324315;
201;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,443063965;0,015873499;3,582665384;
202;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0,474209132;0,025250229;5,324703248;
203;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0,5186275;0,023663242;4,562666265;
204;0;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0,47526374;0,023134474;4,86771276;
205;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0,637803298;0,015068489;2,362560555;
206;0;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,595055844;0,011431594;1,921096018;
207;0;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0,635281589;0,019001075;2,990968979;
208;0;0;1;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0,586770196;0,069017806;11,7623231;
209;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0,365511233;0,047298935;12,94048751;
210;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0,439736773;0,057828349;13,15067391;
211;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,488163246;0,00869879;1,781942857;
212;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,446852293;0,0304965;6,824738367;
213;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0,406187789;0,024473383;6,025139939;
214;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,330505193;0,010064982;3,045332494;
215;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0,502240204;0,004800145;0,955746963;
216;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0,306584909;0,013322442;4,345433217;
217;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0,365023218;0,01169561;3,204072964;
218;0;0;1;1;0;1;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0,509557632;0,047479771;9,317841203;
219;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,481645786;0,011136087;2,312090617;
220;0;0;1;1;0;1;1;0;1;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0,376951511;0,016959631;4,499154516;
221;0;0;1;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0,554801863;0,022845418;4,117761637;
222;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0,372990876;0,015464271;4,146018624;
223;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0,161345675;0,017885524;11,08522032;
224;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,516098809;0,009689292;1,877410294;
225;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,524437826;0,012647578;2,411644971;
226;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,585607514;0,050158482;8,565204641;
227;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,465489538;0,007980987;1,714536217;
228;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,600380471;0,008362767;1,392911243;
229;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0,170784527;0,004137235;2,4224881;
230;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,602634225;0,009804417;1,626926703;
231;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,566642507;0,005704171;1,006661304;
232;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,554298204;0,010547354;1,902830325;
233;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0,476888783;0,008034478;1,684769735;
234;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0,300350888;0,001120618;0,373102897;
235;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0,369846298;0,007248552;1,959882223;
236;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0,543435009;0,011104376;2,04336789;
237;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;0;0;0;0,516173385;0,019733871;3,823109;
238;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,466381636;0,008627212;1,849818159;
239;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0,13529376;0,003475351;2,568744412;
240;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,443698224;0,01200012;2,70456802;
241;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,310387398;0,010859444;3,498674241;
242;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,367257004;0,008038396;2,188765909;
243;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;1;1;0;0;0;0,155667557;0,014879915;9,558777345;
244;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0,394812521;0,018427547;4,667417083;
245;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;1;1;1;0,47977595;0,012583939;2,622878245;
246;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1;0,465515781;0,00501394;1,077071934;
247;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0,578465702;0,00632751;1,093843609;
248;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;0,55852321;0,011378822;2,037305179;
249;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,813308369;0,010236263;1,258595548;
250;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0,171801319;0,013805037;8,035466475;
251;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,691456645;0,027814237;4,022556904;
252;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,762050011;0,016732749;2,195754697;
253;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0,712262304;0,018364956;2,578397927;
254;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0,196221083;0,003616757;1,843204862;
255;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1;0,419848252;0,003508296;0,835610598;
256;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;1;1;1;0,402662739;0,021756858;5,40324594;
257;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;0,207868192;0,013131045;6,317005291;
258;0;0;0;1;1;1;1;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0,429193235;0,020954858;4,882383021;
259;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0,493474074;0,015219256;3,084104465;
260;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;0,626860919;0,002804833;0,447441044;
261;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;0,657148376;0,019011687;2,893058499;
262;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0,167020682;0,014006252;8,385938456;
263;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,747407884;0,003269239;0,437410235;
264;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,675279203;0,01400852;2,074478235;
265;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,58709927;0,028869069;4,917238182;
266;0;0;0;1;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0,164405672;0,003452285;2,099857358;
267;0;0;0;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0,347767266;0,038374144;11,03443246;
268;0;0;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0,342315176;0,036814287;10,75450036;
269;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;1;1;0,528894112;0,031846372;6,021313356;
270;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,782236629;0,009303496;1,189345511;
271;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0,273110032;0,014226238;5,208976569;
272;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0,634155574;0,044098475;6,953889024;
273;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0,624374328;0,01861139;2,980806386;
274;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0,240796496;0,0175234;7,277265498;
275;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0,489564988;0,032320944;6,601972108;
276;0;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;1;1;0,084458622;0,005134509;6,079318504;
277;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0,642343693;0,066835277;10,40490902;
278;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0,702045978;0,043776319;6,235534479;
279;0;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;1;1;0,445358412;0,035645092;8,003686757;Duplicat
280;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0,074563506;0,001503707;2,016680002;